IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.27.20.137,226,259,239,0
104.27.56.16,221,253,239,0
104.27.113.254,212,341,239,0
104.20.188.182,224,258,239,0
104.25.51.121,226,251,239,0
104.24.187.3,224,271,239,0
104.24.186.32,222,260,239,0
162.159.42.77,228,247,239,0
172.67.1.69,228,260,239,0
104.27.52.123,220,267,239,0
104.25.7.62,225,252,240,0
104.20.155.70,224,254,240,0
104.25.154.11,220,259,240,0
172.67.91.43,224,256,240,0
104.27.68.5,226,267,240,0
104.25.198.125,220,266,240,0
104.20.201.212,225,257,240,0
104.25.217.201,219,257,240,0
104.26.15.32,230,254,240,0
104.24.237.12,228,273,240,0
104.25.105.97,225,258,240,0
104.25.76.28,225,260,240,0
104.24.212.93,227,254,240,0
172.67.33.78,230,250,240,0
104.24.227.201,217,265,240,0
104.20.164.253,226,255,240,0
172.67.19.215,228,250,240,0
172.67.111.117,224,297,240,0
172.67.24.3,221,254,240,0
104.25.65.181,218,276,240,0
104.20.117.75,229,256,241,0
104.24.65.134,219,264,241,0
104.20.160.161,223,262,241,0
104.27.73.62,222,256,241,0
104.20.14.214,228,258,241,0
104.24.10.177,224,258,241,0
104.24.249.167,231,252,241,0
104.24.71.202,231,269,241,0
104.27.40.246,222,252,241,0
104.25.58.69,225,264,241,0
104.23.127.78,227,260,241,0
104.27.71.205,227,258,241,0
172.67.122.164,232,254,241,0
104.20.17.145,226,264,241,0
104.23.117.249,229,255,241,0
104.23.103.50,228,265,241,0
104.25.32.192,231,261,241,0
104.20.169.154,226,259,242,0
104.20.157.73,231,261,242,0
104.24.180.53,227,259,242,0
104.20.58.6,213,334,242,0
104.20.74.64,217,339,242,0
104.23.123.96,217,339,242,0
104.20.217.59,230,260,242,0
104.27.119.237,227,258,242,0
104.22.11.132,222,262,242,0
104.24.230.15,228,267,242,0
104.20.8.235,216,333,242,0
104.20.39.201,226,256,242,0
104.20.161.195,221,258,242,0
104.27.205.163,219,260,242,0
104.24.64.102,225,276,242,0
104.27.44.143,221,339,242,0
198.41.212.186,212,333,242,0
104.25.134.16,226,269,242,0
104.20.3.251,228,263,243,0
104.27.62.167,207,334,243,0
104.27.206.42,225,262,243,0
104.20.220.157,229,263,243,0
104.24.23.224,229,261,243,0
104.24.83.233,231,258,243,0
104.24.8.46,234,260,243,0
104.27.103.167,212,332,243,0
104.23.122.123,227,266,243,0
104.20.171.74,232,265,243,0
104.27.121.45,232,262,244,0
104.24.185.200,229,258,244,0
104.20.18.255,231,263,244,0
104.24.162.37,229,256,244,0
104.20.168.89,234,258,244,0
104.23.111.9,232,267,244,0
172.67.36.219,238,253,244,0
104.22.63.161,234,261,244,0
